broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,7974,7952,47,0,5680.509792165492,9984.946090000001,10261.0921,795.2,797.4,23
rabbitmq,128,5000,10.0,7746,7720,0,0,7481.080761709845,10203.513695,10357.5679,772.0,774.6,26
rabbitmq,128,10000,10.0,6887,6866,285,0,8323.527325415089,11877.9799,11964.4467,686.6,688.7,22
rabbitmq,1024,1000,10.0,5388,5355,1224,0,7411.28487630252,14146.420250000001,14656.8351,535.5,538.8,34
rabbitmq,1024,5000,10.0,5998,5939,804,0,8967.616409934331,13328.68544,13567.1007,593.9,599.8,60
rabbitmq,1024,10000,10.0,5817,5769,449,0,9849.730009204368,14531.35428,14829.5824,576.9,581.7,48
rabbitmq,10240,1000,10.0,3674,3169,2210,0,8484.763830798358,16121.09276,16828.6668,316.9,367.4,61
rabbitmq,10240,5000,10.0,3435,3298,2348,0,11278.89188123105,20018.021374999993,20527.403,329.8,343.5,45
rabbitmq,10240,10000,10.0,2350,2281,2363,0,14737.031514379658,23966.8889,25054.4934,228.1,235.0,44
rabbitmq,102400,1000,10.0,258,462,2796,0,22808.500905844157,29713.11421,29725.6624,46.2,25.8,5
rabbitmq,102400,5000,10.0,290,276,2938,0,16244.926160144927,29940.868275,30025.5247,27.6,29.0,8
rabbitmq,102400,10000,10.0,289,277,2652,0,16741.022624187724,29706.548459999998,29912.4961,27.7,28.9,5
redis,128,1000,10.0,9999,3459,0,0,13327.71148699046,16550.87086,16852.7563,345.9,999.9,9999
redis,128,5000,10.0,13457,3313,0,0,14502.0753509508,19570.52676,19907.9356,331.3,1345.7,13457
redis,128,10000,10.0,11951,2686,0,0,15523.299519657485,20008.65175,20361.1703,268.6,1195.1,11951
redis,1024,1000,10.0,9998,3453,0,0,13649.638816999712,16683.199699999997,17086.8659,345.3,999.8,9998
redis,1024,5000,10.0,12352,3207,0,0,14673.870406891176,19537.15007,19920.9979,320.7,1235.2,12352
redis,1024,10000,10.0,13103,2847,0,0,14737.529775096593,20032.22139,20318.6403,284.7,1310.3,13103
redis,10240,1000,10.0,7681,1269,0,0,13857.76474176517,18651.88146,18779.3415,126.9,768.1,7681
redis,10240,5000,10.0,7642,1477,0,0,15667.395190047395,20532.614360000003,20667.2945,147.7,764.2,7642
redis,10240,10000,10.0,7620,1010,0,0,13419.266561386139,20048.53854,20197.7321,101.0,762.0,7620
redis,102400,1000,10.0,648,278,2673,0,19492.355545323742,21386.2143,21445.9539,27.8,64.8,668
redis,102400,5000,10.0,647,178,2398,0,19369.492602247192,20368.375790000002,20416.0906,17.8,64.7,667
redis,102400,10000,10.0,552,190,2986,0,17234.831214210524,20046.104475,20115.634,19.0,55.2,572
