broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,6661,6632,297,0,7164.93878655006,11397.40901,11536.8824,663.2,666.1,29
rabbitmq,128,5000,10.0,7440,7425,263,0,7765.084004579125,10936.34194,10998.3416,742.5,744.0,16
rabbitmq,128,10000,10.0,7042,7018,186,0,8270.304966528925,11414.235034999998,11671.6618,701.8,704.2,25
rabbitmq,1024,1000,10.0,6702,6659,283,0,7097.402724192822,11262.16904,11401.3865,665.9,670.2,44
rabbitmq,1024,5000,10.0,6600,6523,598,0,8409.733197761765,12204.87845,12376.0083,652.3,660.0,78
rabbitmq,1024,10000,10.0,5627,5611,1029,0,9322.308517804313,14523.7841,14641.3925,561.1,562.7,17
rabbitmq,10240,1000,10.0,2714,2280,2658,0,9437.570322587719,17006.042774999998,17756.8888,228.0,271.4,37
rabbitmq,10240,5000,10.0,2620,2450,2614,0,12161.573480489795,22687.410374999996,23192.1958,245.0,262.0,30
rabbitmq,10240,10000,10.0,2362,2269,2756,0,12826.90375667695,23447.326739999997,23891.5855,226.9,236.2,48
rabbitmq,102400,1000,10.0,211,426,1352,0,24120.06837112676,30508.253925,30550.8671,42.6,21.1,3
rabbitmq,102400,5000,10.0,187,170,1782,0,17069.48612117647,30034.426099999997,30165.1573,17.0,18.7,7
rabbitmq,102400,10000,10.0,199,191,1702,0,17204.566012041883,30583.32455,30651.5879,19.1,19.9,2
redis,128,1000,10.0,9997,2049,0,0,13861.78663011225,18166.361080000002,18315.9612,204.9,999.7,9997
redis,128,5000,10.0,9132,1891,0,0,14898.627914754097,20073.26845,20435.5688,189.1,913.2,9132
redis,128,10000,10.0,10715,1310,0,0,13002.658860381678,19932.767545000002,20229.0122,131.0,1071.5,10715
redis,1024,1000,10.0,8767,1507,0,0,14694.201596084939,19191.3437,19321.9102,150.7,876.7,8767
redis,1024,5000,10.0,9299,1128,0,0,13878.16483714539,20110.64946,20299.3035,112.8,929.9,9299
redis,1024,10000,10.0,8159,855,0,0,14094.670732631577,22470.96933,22841.396,85.5,815.9,8159
redis,10240,1000,10.0,3905,452,1314,0,15634.477076327434,20311.432655,20360.9736,45.2,390.5,3925
redis,10240,5000,10.0,6104,634,237,0,13531.182143375396,20029.95482,20148.7506,63.4,610.4,6124
redis,10240,10000,10.0,6586,1071,0,0,15811.794518113911,20392.3166,20498.7916,107.1,658.6,6586
redis,102400,1000,10.0,565,118,2583,0,19417.441148305083,20510.95645,20587.9891,11.8,56.5,585
redis,102400,5000,10.0,575,127,2240,0,17322.01692362205,19840.702429999998,19922.459,12.7,57.5,595
redis,102400,10000,10.0,602,230,2544,0,19995.82599173913,21175.83708,21208.0848,23.0,60.2,622
