broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,7563,7563,0,0,6445.951001229671,10166.234820000001,10428.0417,756.3,756.3,0
rabbitmq,128,5000,10.0,7395,7395,0,0,7692.242569858012,10658.182799999999,11058.0463,739.5,739.5,0
rabbitmq,128,10000,10.0,7666,7666,0,0,7770.099266449256,10729.4422,10951.2126,766.6,766.6,0
rabbitmq,1024,1000,10.0,7256,6844,0,0,6524.039546537112,11919.38256,12487.4906,684.4,725.6,21
rabbitmq,1024,5000,10.0,8063,7485,0,0,7968.493535684703,11144.828140000001,11538.4391,748.5,806.3,0
rabbitmq,1024,10000,10.0,7770,7078,0,0,8592.531704294997,11818.18565,12136.7696,707.8,777.0,0
rabbitmq,10240,1000,10.0,2920,5266,2570,0,7972.380156304595,15207.050325,17848.3655,526.6,292.0,0
rabbitmq,10240,5000,10.0,2869,4830,2473,0,8181.454871780538,16391.303845000002,22130.7468,483.0,286.9,0
rabbitmq,10240,10000,10.0,5242,312,213,0,7719.55730352564,22700.543935,23331.071,31.2,524.2,0
rabbitmq,102400,1000,10.0,175,2219,2227,0,8381.379396439837,9617.45019,19875.8625,221.9,17.5,0
rabbitmq,102400,5000,10.0,212,1059,1811,0,15457.776052407933,18636.252969999998,19402.2414,105.9,21.2,3
rabbitmq,102400,10000,10.0,196,918,1798,0,16306.52376023965,20244.740255,21142.0132,91.8,19.6,22
redis,128,1000,10.0,10001,10001,0,0,1273.806420507949,1574.4996,1612.5012,1000.1,1000.1,0
redis,128,5000,10.0,11812,11812,0,0,4040.345899254995,5219.68389,5413.6982,1181.2,1181.2,0
redis,128,10000,10.0,12216,12216,0,0,3987.9542192370664,5266.3450250000005,5411.1543,1221.6,1221.6,0
redis,1024,1000,10.0,9402,9402,0,0,4030.9054529887258,6842.2460599999995,7429.0707,940.2,940.2,0
redis,1024,5000,10.0,10261,10261,0,0,4580.580757879349,6412.5257,6725.0196,1026.1,1026.1,0
redis,1024,10000,10.0,13027,13027,0,0,3660.2520051738697,4446.3891300000005,4777.4256,1302.7,1302.7,0
redis,10240,1000,10.0,6683,6703,460,0,7147.25837487692,11887.88953,12109.2577,670.3,668.3,0
redis,10240,5000,10.0,6866,6866,0,0,7607.663237387125,9914.61155,10216.5097,686.6,686.6,0
redis,10240,10000,10.0,7011,7882,487,0,6689.636005328597,10760.113025,11256.5987,788.2,701.1,15
redis,102400,1000,10.0,531,4708,1024,0,11973.273872790995,18091.181675,20201.5165,470.8,53.1,15
redis,102400,5000,10.0,347,1138,1115,0,12088.317417311071,20236.046284999997,20734.11,113.8,34.7,0
redis,102400,10000,10.0,297,975,1066,0,11959.030887179488,17582.77683,17853.1358,97.5,29.7,0
