broker,payload_bytes,rate,duration_sec,sent,received,send_errors,recv_errors,avg_ms,p95_ms,max_ms,recv_msg_per_sec,sent_msg_per_sec,backlog
rabbitmq,128,1000,10.0,8774,8763,236,0,4769.442843866255,9741.041539999998,10548.7129,876.3,877.4,12
rabbitmq,128,5000,10.0,5066,5032,1208,0,9099.666583863274,16481.039135,17318.3436,503.2,506.6,35
rabbitmq,128,10000,10.0,5997,5984,191,0,9439.935469234626,13336.076759999998,13626.0885,598.4,599.7,14
rabbitmq,1024,1000,10.0,6136,6134,190,0,8136.2766869905445,11320.384474999999,11487.1587,613.4,613.6,3
rabbitmq,1024,5000,10.0,6828,6796,700,0,8030.903576221307,13117.369325,13240.7085,679.6,682.8,33
rabbitmq,1024,10000,10.0,6670,6630,0,0,9408.447083182504,13784.573669999998,14081.6147,663.0,667.0,40
rabbitmq,10240,1000,10.0,5441,4947,1290,0,7701.580969375379,13527.885269999999,15086.292,494.7,544.1,30
rabbitmq,10240,5000,10.0,5191,5121,1213,0,10237.688320796718,17532.2038,17645.8172,512.1,519.1,45
rabbitmq,10240,10000,10.0,3204,3035,2289,0,11653.53068125206,18818.98824,19765.5261,303.5,320.4,44
rabbitmq,102400,1000,10.0,180,459,1982,0,25953.296291938997,31150.433080000003,31169.6358,45.9,18.0,2
rabbitmq,102400,5000,10.0,306,290,2675,0,16661.63736896552,29952.706535,30050.1211,29.0,30.6,9
rabbitmq,102400,10000,10.0,352,332,2574,0,16024.491584337351,30175.031055,30435.3741,33.2,35.2,5
redis,128,1000,10.0,9988,5023,0,0,9925.4313186741,14859.324809999998,15226.6257,502.3,998.8,9988
redis,128,5000,10.0,14909,4896,0,0,14196.908232863563,18595.699625,18849.0728,489.6,1490.9,14909
redis,128,10000,10.0,16068,5007,0,0,13899.632977890953,19027.570229999998,19302.0712,500.7,1606.8,16068
redis,1024,1000,10.0,10000,6589,0,0,9331.424069145545,13544.48538,13838.4318,658.9,1000.0,10000
redis,1024,5000,10.0,16006,4536,0,0,13944.680164021163,19055.954700000002,19303.6519,453.6,1600.6,16006
redis,1024,10000,10.0,16504,4430,0,0,14434.994182866816,19185.424545,19431.0648,443.0,1650.4,16504
redis,10240,1000,10.0,9998,2247,0,0,14006.9181682243,17933.65591,18039.9477,224.7,999.8,9998
redis,10240,5000,10.0,9238,2492,0,0,14945.102100200644,18784.800325,19006.1315,249.2,923.8,9238
redis,10240,10000,10.0,9588,2244,0,0,15575.436817201426,19943.737715,20124.257,224.4,958.8,9588
redis,102400,1000,10.0,933,292,3113,0,17311.067849657535,19783.99137,19819.5668,29.2,93.3,953
redis,102400,5000,10.0,1066,130,2952,0,16687.529166923076,19699.42944,19780.3988,13.0,106.6,1086
redis,102400,10000,10.0,899,298,3122,0,17586.712764093958,19861.289285,19907.2925,29.8,89.9,919
